Title,Price,Location_Category,Link,Member
MSI Cyborg i7 -14th Gen +RTX 5060 16GB |512GB Gaming Laptop,"Rs 399,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-cyborg-i7-14th-gen-rtx-5060-16gb-512gb-gaming-laptop-for-sale-colombo,True
"Asus VivoBook Core I5 13TH Gen 12GB RAM 256GB SSD 14"" Brand New Laptop","Rs 157,990","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-core-i5-13th-gen-12gb-ram-256gb-ssd-14-brand-new-laptop-for-sale-colombo-27,True
Lenovo Thinkpad E570 Laptop,"Rs 65,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/good-condition-for-sale-gampaha-1862,False
MacBook Air m4 2026 February stock,"Rs 289,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/macbook-air-m4-2026-february-stock-for-sale-colombo,True
I5 14 Gen Pc Gpu,"Rs 351,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/i5-14-gen-pc-gpu-for-sale-kandy,True
Dell i3 Laptop,"Rs 35,000","Batticaloa, Computers & Tablets",https://ikman.lk/en/ad/dell-i3-for-sale-batticaloa-4,False
Apple MacBook Pro M5 14-inch 16GB 512GB - SILVER,"Rs 499,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/apple-macbook-pro-m5-14-inch-16gb-512gb-silver-for-sale-colombo-5,True
Honor Pad X9A 16GB/256GB,"Rs 87,990","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/honor-pad-x9a-16gb-256gb-for-sale-gampaha-5,True
Dell i5 3rd Gen Desktop PC,"Rs 57,000","Hambantota, Computers & Tablets",https://ikman.lk/en/ad/slli-hdisiyktt-vikiinniim-sdhaa-for-sale-hambantota,False
Apple iPad 11th gen 11” 128GB,"Rs 85,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/apple-ipad-11th-gen-11-128gb-blue-for-sale-colombo,False
11” Oscal Pad 90 8GB 128GB Tablet,"Rs 45,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/11-oscal-pad-90-8gb-128gb-tablet-for-sale-gampaha,True
Blackview Tab 90 LTE 24GB RAM 128GB ROM 11” Tablet,"Rs 47,500","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/blackview-tab-90-lte-24gb-ram-128gb-rom-11-tablet-for-sale-gampaha-27,True
GALAXY TAB S10 FE PLUS WIFI 12GB | 256GB,"Rs 164,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/galaxy-tab-s10-fe-plus-wifi-12gb-256gb-for-sale-colombo-3,True
Dell i5 11th gen Laptop with Nvidia Graphics 1TB nvme 16GB RAM,"Rs 139,000","Kalutara, Computers & Tablets",https://ikman.lk/en/ad/dell-i5-11th-gen-laptop-with-nvidia-graphics-1tb-nvme-and-16gb-ram-for-sale-kalutara,False
GALAXY TAB S10 FE PLUS 5G 12GB | 256GB,"Rs 206,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/galaxy-tab-s10-fe-plus-5g-12gb-256gb-for-sale-colombo-3,True
HP Prodesk600 G2 Core i3 6th Gen Desktop PC 4GB RAM 500GB HDD used,"Rs 29,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-prodesk600-g2-core-i3-6th-gen-desktop-pc-4gb-ram-500gb-hdd-used-for-sale-colombo-11,True
